,tweet,subtask_a
41, socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem,NOT
42, nina one of the reasons i didn't read this book for so long was because i was so worried about her character i should've trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect,NOT
43, please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him matters ,NOT
44, ppl who say i'm not racist are racist you are a racist repeat after me,NOT
45, kathy the patriot you have to love our great president trump a spine of us steel changing it on trade amp everything for americans amp amp ,NOT
46, wow you liberals really don’t have a sense of humor,NOT
47, i'm so fucking ready,NOT
48, holy moly if the catholic people haven't been awakened by this  ,NOT
49, lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT
50, what a surprise same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but it's not gunna happen,NOT
51, me too her wedding was the best she is very pretty,NOT
52, no conflict here—don’t look at this involved in violent left agenda of antifa also,NOT
53,  any of your announcements every come to fruition or is it basically stealing labour's ideas to get a few more votes,NOT
54, out of  british people are basically fullon racists  out of  voters vote for the conservatives coincidence,OFF
55, advocates must stop falling all over themselves to assure electorate that they too love the horrific a ,NOT
56, hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material,NOT
57, fuck off,OFF
58, certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities i’d like to know if the black population that suffers the most shares her opinion,NOT
59, the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like  inmates went missing,OFF
60, she is useless attempts to do the right thing but never follows through,OFF
61, liberalsyour party is poison ,NOT
62, grateful trump doesn’t have a dog in the white house he is a cruel man,OFF
63, you are lying stick with the facts we pay more than that now,NOT
64, trump kicks dem butt  its so fun,OFF
65, he is dumb and dumber all in one president it's a two for one,OFF
66, minister attempted to expense £ charity donation it's what do ,NOT
67, ur so straight forword man i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior artist love for ,NOT
68, and this from the clown that should be in prison,OFF
69, did twitter silence alex jones in retaliation of him asking twitter jack questions ,NOT
70, thats because you are an old man,OFF
71, they are obstructionists antiamerican pharisees ask them what they are running on and you get nothing maga,OFF
72, no you're notyou're here  represent the alinskyite orwellian leftist toolampfool view on thingslike  of the marxistsampantifa similar upsst and bu use the words fascist or fascism again go ahead amp read d'souza's book the big lieright now u know squat about either,NOT
73, i do remember  but somehow centrist antifahaters can never quite seem to bring themselves to condemn such things,NOT
74, i mean it worked for gun control right ,OFF
75, i think the last thing on the wh or trump's mind is april ryan she needs to stop flattering herself she's not as important as she thinks she is,NOT
76, principled conservatives are ,NOT
77, don't forget amp democrat backed ,NOT
78, she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real ,NOT
79, bring out his antifa criminal son to campaign for him,NOT
80, i didn’t watch and will not watch watching the september th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a saturday,NOT
81,a tear is made of  water and  feelings,NOT
82, trump addresses gun control representing the nra i will not let you down he says ,NOT
83, she is drinking so much koolaid she’s bloated,OFF
84, holder needs to be prosecuted,NOT
85, but but both players were women and both were women of color,NOT
86, the institution only let her tweet when she behaves she is a window licker,OFF
87,babysitting  kids people”how old do you think she is” “she has three kids” medont get mad don’t get mad they don’t know they don’t know,NOT
88, well ,NOT
89,wtc this is a threat  ,OFF
90, it's easily digestible content there's no need for nuance or to even understand the story they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable,NOT
91, try looking for plain old democrats the liberals are the ones which you can’t have a conversation with,NOT
92, great news old moonbeam just went into a coma ,NOT
93, omg he is so extra ily,NOT
94, please call trump out for what he isa narcissistic sociopath,OFF
95, unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups,NOT
96, i know she is still alivebut wondering if her career was railroaded odd loved herespecially that day,NOT
97, guy you are always presentbet why lol,NOT
98, what a baby ,NOT
99, you are very persuasive fam,NOT
100, that's nothing new she was going to vote no anywaywe will vote no to liberals in november ,NOT
101, burt a cool dude,NOT
102, if you are all in for follow me and i will follow back,NOT
103, thank u i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT
104, kind of like what trump does all the time huh,NOT
105, because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me,NOT
106, fuck em,OFF
107, good movehe is the big loser,OFF
108, let's get to the bottom of this dm me your zipcode and i'll check it out we have your back and we will make sure you are enjoying the best that tv has to offer asap nevinbruce,NOT
109, for the record i know doug jones personally and he is only a sen bc we had no other credible choice he won’t be at the next election,NOT
110, the president’s feelings are totally opposite of cnn’s feelings so what does that say about cnn they’re all liberals,NOT
111, it's literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash,OFF
112, there are many dumb arguments for gun control but this may be the dumbest and most common,OFF
113, she is idk what's going on,NOT
114, yall need to chill he is having a really abysmal nd half rizzo had an abysmal st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at anytime ,NOT
115, dude you are old lmao ps go pack go,NOT
116, that's why trump supporters can't even wear a hat without being abused if they meet the animals on the left attack them antifa is a branch of the communistsocialistnazis democrat party,NOT
117, the laughs i’ve gotten from you are enough ,NOT
118, well,NOT
119, first of all— they don’t even have pizza at panera,NOT
120, please don't kill me antifa on the other hand,OFF
121, did you see shanahan say spoon was not  healthy this game obviously no excuses if you’re out there but maybe it’s not the “all is doom” sort of thing it seemed during the game maybe he is still pretty good,NOT
122, good girl ,NOT
123, she is an ugly black hearted troll ,OFF
124, you are clearly not a pokemon master i have almost  in rare candy alone over  legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game,NOT
125, dont believe the hype,OFF
126, followed all new  maga please follow back,NOT
127, reported in except these are fan and one says on it getting worse now even as i type doomed to lose but do not realises it soon ,NOT
128, liberals would still vote for him they'll claim his comments were taken out of context and that he is still a man of integrity,NOT
129, we have been saved from you maga,OFF
130, you are bringing up honor and decency with that yoyo in the picture that's rich,NOT
131, good riddance,NOT
132, she is a goddess,NOT
133, omg xd the worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead,NOT
134, you can probably imagine all the sjw snowflakes that don't feel safe working where there might be conservatives lurking in the shadows conservatives are now the ruskies of the st century,OFF
135, i see may in the same light as yourself even the last election was about her and not the conservatives a split is coming to the tory partyvery soon,NOT
136, this all i get damn these haters deleting you ig for no reason ,OFF
137, do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us,NOT
138, you warned everyone about josh gordon the last  months on a daily basis i'm sure you are as shocked as i am of what transpired today,NOT
139, why can't liberals read read it again ,NOT
140, sjshsj thats my job bitch,OFF
141, do they discuss haiti,NOT
142, what part of no collusion don't you get this is why you are a dumocrat,OFF
143, he is very skilled,NOT
144, you are amazing ,NOT
145, fist pump was for the troops,NOT
146, if the reason for farakans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters,OFF
147, let the leftist democrats riot in the streets with their antifa counterparts,OFF
148, i thought canada had strict gun control help me understand what is happening,NOT
149, they don’t want you following people because they don’t like conservatives sickening how biased twitter’s management is ,NOT
150, he is doing life tho,NOT
151, it's so very important between now and the midterms to get the word out that all the want people of color to believe is they support them  which as you know is so false how can the word spread even more to those who need to know ,NOT
152, antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached,OFF
153, have you seen or listened to your antifa pals,NOT
154, in case of antifa take a little bat or something good for you more of should do that kind of thing,NOT
155, your titles scare me a little bit ,NOT
156, gteradicating hiv and malaria in the middle of africa good bloody luck,NOT
157, the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade ,NOT
158, and who seems to be getting things done,NOT
159,i added a video to a playlist  combat mon frere vs ismael et maga assassin vs david le boxer yfc ,NOT
160, so has the law changedyou just make an allegation now days and your guilty until proven innocent liberals are mentally ill,OFF
161, straight up different thank joe biden for that one i also wonder the outcome if her name had been antifa hill,NOT
162, this game sucks donkey balls,OFF
163, yo for real you are gorgeous,NOT
164, absolutely should be a nail in the coffin for hilliary,OFF
165, i hope he gets on twitter so i can tell him how amazing he is ,NOT
166, who are “they” gun control has been tried and is a proven failure this is why people don’t vote democrat they refuse to admit reality gun control doesn’t work,NOT
167, so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about just because california has the biggest population does not mean the us shares in their values get a clue hillary,NOT
168, doesn't he partly fund antifa,NOT
169, he is a dumbass ,OFF
170, and wanting gun control how many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms ,OFF
171, at this point in time i don't think pres trump gives a sht and neither do i lol ,OFF
172, ok conservatives get to the polls vote red,NOT
173, donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail,OFF
174,a harvardharris poll conducted this year found that  percent of black americans said they would like to see between only one and  legal immigrants brought to the us a year  ,NOT
175, any doubt that have officially become the national socialist american workers party is gone with ppl like those on and acting as der sturmer and as their einsatzgruppenwaffen ss detachment,NOT
176, oh my carmen he is so fricking cute,OFF
177, chelsea is as crazy as her mother,OFF
178, it's time the and sent 'lyin lynton back to australia,NOT
179, the  manifesto promised me my vote back so where is it you think brexit would have gone through if all the brits in the eu had been allowed to vote the referendum was gerrymandered,NOT
180, the metoo movement must be an extension of antifa and is a complete joke if this movement wasn't selective joe biden would be in court for fonding girls on camera ,NOT
181, you are awesome thank you you give humanity hope,NOT
182, goober,NOT
183, another uninformed,NOT
184, i forgot he is their foster child,NOT
185, and the brainless wants us to believe that he doesn't have the majority liberals is just like their leaders the corrupts and both are real bad losers ,OFF
186, no fucking way he said this,NOT
187, such supposedly smart people didn't think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way,NOT
188, i'm not surprised it takes a sick woman to make this type of accusations the kind you can only find on the far left liberals are praying that the really weak members of the gop like collins and flake will pull back their support,NOT
189, california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control,OFF
190, or where  oct  brazil citizens overwhelming voted “no” on the government implementing strict gun control by a factor of  and the brazilian government still violates that referendum everyday as brazilians are murdered wzero effective method of self defense,NOT
191,if we claim to be without sin we deceive ourselves and the truth is not in us if we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness  john ,NOT
192, and yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else but yet they want to have stronger gun control idiots our wonderful media has to hype incidents that fits their agenda,OFF
193, yes do hurt your selves gun control freaks,OFF
194, you get more like this guy with every hysterical tweet ,NOT
195, he always shows dedication at what he does no wonder he is the best ,NOT
196, bullshit regulations are good because it keeps conservatives from striping our land into the abyss,OFF
197, the owner of my culo,OFF
198,now she scarred herself for life lol ,OFF
199, you fucking ,OFF
200,confirm the man the left wing activist is a liar who's story changes no hard evidence innocent until proven guilty ,OFF
201, reagan also signed the first gun control bill as governor of ca,NOT
202, awe hogwash do we really need you to overstate the obvious,NOT
203, years as a judge extensive backgroundsnot a peeplink to trumpboom do conservatives only rape liberals ,NOT
204,i'm assuming i'm not going to get an answer' brainless stooge ocasiocortez  on t policy plan  this is not america's future vote republican or surrender america to these morons ,OFF
205, this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others  i'm waiting for gun control advocates to add this to their list of school shootings  who buys  caliber handguns why ,NOT
206, leftists showing yet again how vile they can be,OFF
207, he is a drunk crazy man,OFF
208, honored to be included with all these fine patriots  thank you rena  dean  ,NOT
209, please shut up ontario is seeing what conservatives stand for is not helping you loose this province your never going anywhere not they you will any way your completely out of tune with canadian mr harper oops i mean mr scheer common mistake you so much alike,NOT
210, you are not alone i was sexually assaulted by a fellow law student in  i never reported it because i didn't think i would be believed however something happened that made me realize i wasn't his only victim then i felt i'd made a colossal mistake,NOT
211, but liberals do,NOT
212, another terrorist attack not reported by msm,NOT
213, dont know who you are so imma just ,NOT
214, all that money hadn't made u smarter,OFF
215, yes he is from gilmer it makes me laugh so much,NOT
216, u both r my lifeline ,NOT
217, always thought h ford was a level headed guy guess not note to ford climate change is summerfall winterspring happens every year get over it,NOT
218, yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown,OFF
219, unfortunately you're right keep it real she is the assault weapon,NOT
220, she is real rocky oh my god ,NOT
221, thank you to everyone for making this possible you are amazing and so are the beautiful bears i'm a member of olivers army and i appreciate everything you do to make lives better,NOT
222, “yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for emily but she guessed jj wouldn’t profile her,NOT
223, by the way why don’t you move to haiti  you liberals seem to make shit holes out of large cities so go somewhere where it’s already a shit hole so you don’t have to do any work ,OFF
224, yes she is,NOT
225, he tried this before and it went nowhere he's  pro gun control done,NOT
226, he could have killed as many with a hunting rifle with the time and vantage he had he had close to an hour before police entered his room his actual shooting was over  min making this about gun control is just going to get more people killed we need to be smarter,NOT
227, aha yes i see that the individual sense of needing to belong to a winning team because of the constant conditioning of selfdevaluation i see a strong sense of this on the q side but on the lefthillaryantifa side as well regardless if they think they're winning or not,NOT
228, oh no i know why that i just don't know what she is talking about because i don't see a tweet she is repling too lol,NOT
229, and here we have another demonstration that gun free zones don’t work brought to you by a liberal who more than likely supports stricter gun control,NOT
230,shouldn't pussy grabbing be the one wearing the gloves while handling food ,OFF
231, you have no plan for the environment even conservatives should be able to understand that you have to be able to live on the planet to make money there,NOT
232, this is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is that simple fact of life breaks their brains,NOT
233, antifa doesn't beat facsists to try to get them to change their mind  they know it's a lost cause to try to change a fascist's mind they do it to scare them into hiding to demoralize them and to stop the spread of their hateful ideology there is no forcing views on others,OFF
234, soros is at the root of everything and anything anti american he has his money in hollywood all the way to islam and antifa to illegals  ,NOT
235, he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump ,OFF
236, truly has got to be the most idiotic thing i've ever seen,OFF
237, brigitte gabriel has experienced a life that most would have nightmares from she is sounding the alarm for americans buy her book pay attention to what she is warning america about,NOT
238, it does work if you want to control a population australian gun control had no effect on homicides,OFF
239, poor baby,NOT
240, antifa  democrats  dixiecrats  kkk  ,NOT
241, liberals ruin everything,OFF
242, and don't forget his telling a primarily black liberal audience conservatives want to put them back in chains,NOT
243, sad for both to be exploited and also to have a reputation destroyed now i’ve read she’s part of antifa ,NOT
244, that's what happens when you let a liberal get a hold of a gun that would be a good place to start gun control ban liberals from getting guns,OFF
245, you look happy maga,OFF
246, trump proposes racial profiling as a tactic 'to start thinking about' ,NOT
247, introducing my sweet sweet baby king he is always sooo nice and when i try to sit on the sofa he never attacks me ,NOT
248, there all gone tho and inputed them from bottom to top with the first seconds of your tweet  you good  tmart ,NOT
249, exactly he is on record basically saying the president is above the law it should be noted that the is fine with this rudy has his own issues ,NOT
250, the new dem emperor with no clothes taxpayers funded ‘unprecedented’ armed protection for gun control sen kamala harris  via ,NOT
251, yet she is fat herself,OFF
252, there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings aren't about guiltyinnocence got on the bench times are diff now why as a journalist you don't call out white supremacyaltright but antifa and pick on ,NOT
253, you don’t understand who he is and is capablities despite the proof in the economy my hypothesis is that you have been lied to by liberals your entire life and are believing what you are told the liberal media made bill clinton look good and could do the same with trump,NOT
254,oath must be subpoenaed to testify there is a lifetime appointment at stake here please do it right this time amp do not allow orrin hatch who has already made up his mind she is lying be allowed to question her his kind of questions could invite a lawsuit,NOT
255, y’all are the best,NOT
256, what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about follower's like it's a big party i care that they discriminate ,OFF
257, indeed he is,NOT
258, because i'm a little concerned about the q followers because they slowly become more and more a sort of right wing sjw antifa thingie also excuse me for my horrible english it's not my native languase and didn't had much schooling in it so i'm sorry if it sucks ,NOT
259, yep antifa are literally hitler,NOT
260, wow you are so hot ,NOT
261, she is the most deserving woman to be happy ,NOT
262, i've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter,NOT
263, may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens don’t believe all the shit that goes on in your head,OFF
264, that's just modelling plenty of women make shit tons of money just for looking good,NOT
265,just watching a horizon show about scientists that discovered a dna mix between humans and neanderthalswould have thought trump getting elected would have been proof enough ,NOT
266, i hope there is a way to watch it on tv ted spanking liberals is always enjoyable,NOT
267, just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliancewhat ever the hell that is,OFF
268, he should look in a mirror,NOT
269, i’m sure he is ,NOT
270, send him this party where they promised they will help families maybe that will remind him his duties ,NOT
271, families being separated at the border in fact the picture of children in cages that liberals were using to show how evil trump is was actually taken while obama was president,NOT
272, but antifa is her people,NOT
273, we had a peoples vote on  june  the people rejected the craven worship which you stand for  by a majority of over m you’re contemptuously defying the will of the people amp  ge manifesto amp supporting soros in undermining democracy instead,NOT
274, cause who bitches be playing with god aint give me the gift for nothing,OFF
275, she is free as a bird to return to her muslim homeland,NOT
276,mom speaks into her phone to compose a text for my brother she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling ‍,NOT
277, melting snow flakes,NOT
278, who’s the victim that remains to be seen liberals have turned kavanaughs hearings into a circus from the first minute it started,NOT
279, coming from the man that threatened to try and kick turmps ass now don't that take a set of ball's,OFF
280, you're shocked to hear that liberals want to centralize power at the federal level,NOT
281, he is best of the best,NOT
282, liberals can’t win without lying,NOT
283, fast and furious holder lol,NOT
284, getting scared ugly man,OFF
285, is one of the only shows that are a progressive that i can stand to watch he dislikes the right and left evenly and you know who he is right from the start if you've never seen his show check it out on youtube insightful ,NOT
286, he is not supreme court worthy,NOT
287, god i hope not ,NOT
288, yes he is,NOT
289, bitch ,OFF
290,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,OFF
291, i can't prove causation either but while the conservatives in cda surely love the idea of ¬ bashing pm can't help but think they're also egging the former to continue the bashing to boost their fortunes vainly ,NOT
292,  republican men in a picture  and  what are men of that age are law makers too old no sorry young republicans are like young conservatives they are all born at  years of age,NOT
293, liberals can’t meme they have no sense of humor or knowledge of memeing philosophy,NOT
294, any she is stunning,NOT
295, yea your the bitch on the right getting smacked ,OFF
296, why the focus on the proud boys i know you're not a real journalist kelly but why not focus on the ones doing all of the violence if you want a story focus on why journalists leftist activists are constantly ignoring antifa's attacks on people,NOT
297, hahaha big thighs is not going to make it,OFF
298, it’s called educating liberals,NOT
299, had this to say about bill clinton during whitewater it's imperative to make his pattern of revolting behavior clear  piece by painful piece indeed ,OFF
300, people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government and what jobs did he create labour which pays less than living wage lmao ,OFF
301, if you wonna get paidpick up the energy people scream and shout like you’re at the hearing ,NOT
302, bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious,OFF
303,a bitch built like that could beat my ass all she wants ,OFF
304, trash,NOT
305, very pathetic man ,OFF
306, she is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism ,NOT
307, shouldve played saint marie instead of london docks saint was ass for me ,NOT
308, thank goodness he is not mn passive aggressive love it,NOT
309, we can empty all our prisons also and just say they broke no lawsliberal logic,NOT
310, she is an angel much love to her,NOT
311, for what why are you asking for his arrest liberals being butthurt for  months is not an impeachable offense,NOT
312, the tolerant left,NOT
313, you must be talking about hateful conservatives,OFF
314, thats correct ,OFF
315, show me a single case where antifa have actually murdered someone because the far right murdered someone at charlottesville hypocrisy works both ways,NOT
316, if bobby is fit thats exactly what i would say but not sure if he is or not,NOT
317, the only white people that thank jesus are republicans amp excrackheads  so say americahating liberals about christians many exdems thank jesus too amp many former emmys watchers we thank jesus daily for our country our amp the ability to turn you off ,NOT
318, does skip realize that by saying you should become a professional tweeter that he is kind of shitting on sports casters how many td receptions skip have this year,NOT
319, this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts ,OFF
320, she is just feeling his touch first time,NOT
321, this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode andsadly alyssa milano just wet her pants again great team,OFF
322,  tdavis touring the application of and techniques to speed of ,OFF
323, you are grossly misinterpreting who is against this people across all parties condemn this action look no further than bill davis and brian mulroney to see that even conservatives think this is a horrible decision,NOT
324, i wasn't proposing scare tactics i really meant what i said trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics think about it,OFF
325, only a liberal would support a liberal that spent a million to get liberals elected to office  ,OFF
326, notice how everyone avoids this tweet they might think you are referring to them but not me comrade i stalk everyone ,NOT
327, it’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘liberals think all criminals should be free’ it reveals a pretty brutalist and impenetrable mind,OFF
328, what the fuck game are you watching,OFF
329, he is all grown up,NOT
330, amp under threat from ,NOT
331, why didn't kavanaugh need terms guilty people those are the ones that need terms let me clue you in they're worried that she is going to make a terrible impression and will not be believable they're trying to manage that concern,NOT
332, don’t perpetuate colonialism if you are going to talk about you must have puerto ricans in the panel jeezuzfuckingchrist how difficult can that be ,NOT
333,an anonymous message to ,NOT
334, antifa has no place in society,NOT
335, has two votes in our home west texas is stoked about him he is inspiring he can do this,NOT
336, why why are liberals so trashy,OFF
337, grape,NOT
338, hello somebody need hyukjae now she is in danger by watching your fancams,NOT
339, he never did show much intelligence,NOT
340, yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i don’t think he is a big fan of her policies he’s not that stupid please,OFF
341, if you go by anything other than he or she you are fucked in the head,OFF
342, are you sure she was't just thinking about herself,NOT
343,  it's a guy guy looks like a sheila crocodile dundee ,NOT
344, here's the problemif you go back to fast and furious you have proof that the atf was looking to influence gun control in the us it may be preposterous that the government would fake sandy hook isn't facilitating a drug war somewhat similar,NOT
345, all you need to know is he is empty inside,OFF
346, oh dear i’m so sorry you are having migraine i have them as well sending up prayers for you ,NOT
347, my sister by far she is the kindest sweetest person alive use to be my grandma but she passed in may that woman was a saint even had a song written about her my mom's a saint written by her children of course ,NOT
348, the liberals are mentally unstable,OFF
349, who authorized a search warrant of mr jean home racist what about her drug test this is premediated murder he will not be slandered he is the victim,OFF
350, what would this line putz know about what conservatives think,NOT
351, dude why r u trolling ash rock z  he is our guy just in a hurry to see bjp govt in state,NOT
352, she’s said before that she will always be praying for him even tho she can’t do anything i’m sure she is heart broken as well at the events,NOT
353, which one is it is there an active threat that you could be shot that is driving the need for gun control or is the idea that the threat exists hypothetical so i have an excuse to carry a big scary gun,NOT
354, get a life,NOT
355, containers of hurricane donations found rotting in puerto rico parking lot ,NOT
356, followed all look forward to you following back thank you amp have a wonderful day ,NOT
357, the suicide rate in america is similar to other countries that have strict gun controlthey use other  the uk jumping from cliffs and bridges is a common method,NOT
358, are you joining antifa,NOT
359, apparently durbin has amnesia,NOT
360, canada has regulated firearms since the last quarter of the th century those laws have probably contributed to canada having only  as many handguns in circulation as in the us ,NOT
361, i have heard he is making waves,OFF
362, it’s anita hill versus clarence thomas all over again i hope this confirmation process has the same end result ‍,NOT
363, boi if you don't,NOT
364,rd time in my teacher career that i’ve had a parent tell me that heshe is praying for me i always consider that a win ,NOT
365, you are most welcome ,NOT
366, funny watching these liberals all of a sudden do a  on being transparent warner had no problems with leaks now when the truth is out he has issues its over some people are in big trouble warner is likely one of them,NOT
367, brown like you,NOT
368, you ladies always make me smileif you know what i mean ,NOT
369, fuck liberals forever,OFF
370, did you have to scalp custer ,NOT
371, once again it's been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the  criminal don't care about gun laws,OFF
372, nothing abusive should ever be done to anyone including the women and people of this country she is putting under horrible stress worrying about what she is going to do this should have been an easy no from her if she is who she says she is and i agree with you gabby,NOT
373, mxm nigger thinks we give a fuck ,OFF
374, she is a fake vote her out now she wants sympathy,OFF
375, ask antifa  which one they like amp respect,NOT
376,kids from different women from this american jobless men nigerian men you are the bomb,OFF
377, by banning ammunition guns are still legal why not instate gun control to keep   watch on all firearms,NOT
378, dont have anything to do with trump or any conservatives refuse to trade with them in business,NOT
379, got him signing my bookhe is a cute ,NOT
380, this russian agent is a disgrace hey old creep you are going to die in prison you and trump sold america to the russians and it’s time you do the time for your years of crimes scumbag,OFF
381, wow more salinsky tactics,NOT
382, what insanely ridiculous bullshit,OFF
383, nhs is only the way it is because we have a over populated country conservatives have privertised were nhs buys from,NOT
384, we shouldn’t be surprised these same pigs worked with neonazis to unmask antifa protestors and the local coverage by shit journos like didn’t cover that at all we had to rely on for investigative coverage ,OFF
385, gun control anyone ,NOT
386, i’m not for gun controlpractice reading comprehension first,NOT
387, i am beginning to believe that all liberals are sociopaths none of the people here believe in rule of law you have to have evidence of a crime to go any further ,NOT
