,tweet
640, so a pathological liar is going to give the judge a lecture on credibility because the judge won’t admit to something he didn’t do and we are the stupid ones and liberals have no shame in the ignorance of their elected representatives
641, we have a stupid problem conservatives don’t just hate studies by smart people smart people suck that show data data schmata and facts  but just being near one can turn somebody into a nitwit 
644, bitch
648, if jamie oliver fucks with my £ meal deals at tesco i’ll kill the cunt
649, i care that he was murdered i don't care whether he had some weed in his home like a whole lot of americans do any more than i'd care if you said he had  pairs of socks he is the victim you are trying to smear the victim you are despicable
657, i should wash your mouth out with soap for saying that i have the utmost respect and admiration for our cops i don’t have that for dirt bags who would break into my home gun control means a steady hand not an empty one go talk to antifa buddies about being a drain
660, he is a russian spy have received much money from putin
661, well he's a liberal so that explains it who knows the shooter may be a liberal as far as he knows liberals are very hateful violent people and must be defeated
664, no news orgs are giving faith goldy the time of day that's simply wrong she may not have the experience of the other two useless fools but she cares and she is no one's fool
667, i just gave beto  and you all should as well trump called ted's wife ugly and he is still licking his boots for help with reelection
671,was this a threat from 
673, liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence they imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them
680, let me borrow yo shit first 
682, wow that lie'n bitch is at it again 
689, stfu bitch lol why u salty i’m tryna get twitter famous ya know
692,  is  correct and should be applauded for criticizing our inept and corrupt president  not denounced for it 
693, you turn a dull tuesday night into a super sexy one so hot 
694, but not as despicable as her own
696, without question professor ford is troubled that's being polite half the women in the world probably more have been groped at one time or an other and don't hold on to it for  years this is obviously a political ploy to deter scotus confirmation 
697, he is both evil and delusional he eats those high quality paint chips
698, shut that wanker up
702, fuck off
707, she’ll have a total mental breakdown when he is reelected
715, that is about the saddest existence i have ever been privy to reading sucks to be you man
721, so did angela hook up with a younger guy so she has someone to wipe her butt when she is 
722, good this will surely show us how croocked he is 
725, exactly hat are true feckers  i detest them
726, still waiting for mine fat
727, sam was singing and they didnt tell her to stop singing and she thanked them unbelievable who the hell is she talking to it's bad enough when she is talking to one of the houseguest  but to keep talking to herself wonder what her family think about her going nuts
729, i think he could be called a turncoat talking out of both sides of his fucking mouth lindsey graham can no longer be trusted 
732, oh boo you sound so ignorant with your words we are on top all of america is on top now how about stop resisting and try to help make our nation the best for everyone not just liberals wake up and walk away
738, sucks
739, fuckkk i know i seen bitch that’s a slapper lmao
743, lefty pope should also he is not worthy rep for true christian roman catholics he failed his flock
748, and honestly it’s ridiculous you are grocery shopping there is no need to be like that
749, little known fact balaam raced donkeys and gambled on races one day his fastest ass was winning the jerusalem sweepstakes and right before the finish the ass lost control running over a samaritan and two africans  local antifa saw the whole thing and blamed the fastest ass
751, if she were a true krishn bhakt she wouldn't even care about presence or absence of such laws she would be above such issues a typical chandigarh mentality of one up manship she is caged in call her anything but krishn bhakt like who cares about what she is doing 
752, it's been up since sunday night he is a sloth
753, some things never change in  clarence thomas’s by amp fight back against these lies 
755, bitch shut up he building his self esteem
756, this hand signal is used by ignorant people as a signal of white supremacy and by evil people who get a lot of satisfaction in the idea of pissing off liberals we should ignore both because displays of ignorance and hatefulness don’t deserve our time and attention
758, and probably and with their level of intelligence weez all stoopid y'all 
759, when are the republicans going to learn that democrats hate conservatives vote thursday
763, isn’t that the amazon bitch from antifa
765, lie about what certainly not about you throwing gun control amp accountability out the window once an illegal is involved and “a” hollering are you seeing shit and hearing voices
769, just one more proof that the dnc hates the cosnstitution this is exactly what pres washington warned us of in his farwell address the dnc hates the constitution because it stands in the way of their totalitarain agenda maybe that i why they push both socialism and gun control
775, he is a beast
781,you you have committed so many crimes no care what a liar has to say you belong in prison 
784, hahahaha omg these people they thought they would have their way forever idiots
786, fool on the hill 
787, why of course liberals reject truth and accept falsehoods that's why they don't believe kanaugh and believe ellison
789, the nose distracts from the news
790, thank you ms desanctis i'm comforted that not all conservatives are letting their ambition blind their conscience sexual assaultharassment has been a plague on society for centuries  that should not make it a conservative or traditionalist cause
792, you are trippin stop jumping to conclusions
794, this sicko thinks that others scheme and lie like he and a lot of the liberals do remember rham emanuel’s famous quote “you never let a serious crisis go to waste”
795,  battering rams used by liberals sex amp racism it is sinister amp desperate 
796, apparently this pos doesn’t know that viacom bought out bet it went from black ownership to white ownership
798, has your networkorganization put out a report on actress li bingbing some reports say she is missing other reports say the chinese government has abducted her what the heck is going on
803, desperation abuse of my power cause he is losing his mind
805, gonna be a bitch to rewrite this one
807, i bet shes had more pricks than a secondhand pincushion 
819, ancient homies couldnt have cock cocks fighting because that was literally illegal in athens fjshdhjs
821, she is fucking delusional
822, isn't it great how liberals ignore the pain of their victims because they are democrats it is really sick
824, no we can’t be losing ab he is literally our whole offense
825, noticed you broke away as soon as the senate started talking about the great  growth rate and salary increases for employees your station is so crooked also negative on the conservatives and praise the liberals 
828, you are an absolute dick 
830, well then i guess it's totally fine to attack his character then my mistake i mean what right does an american who was the victim of gun violence have to call for stricter gun control laws anyway
837, liberals act out of emotion not understanding the law then they go around condemning every who does not agree with their completely fucked rational “nobody believed women for  years so let’s believe all women oh and screw the legal system men are pigs he’s guilty” smh
840, he and obama must be copying each other does any democrat have their own thought please 
841, it wouldn't surprise me a bit just like they falsely call conservatives fascists and justify physically attacking them trump's a nazi kill him it's just a matter of time before they suggest it
857, lol they have no idea nazis were socialist their complete inability to grasp reality is so mind blowing antifa is no shit calling for a civil war to defend slavery the confederacy considered lincoln a fascist too hmmmm
858, lol these are exciting times god he is the worst
865,too bad life sucks  u ur going down along wi ur other criminal friends only red line crossed is the lies u tell u will never b anything more than the belly of a snake 
866, let's focus on kavanaugh bringing up other cases to make an argument about hypocrisy is irrelevant it's like saying let's not investigate this bank robbery because liberals have robbed other banks try to focus
868, she is the finest cheerleader of them all te amo stinky butt 
871, what is this shit right over here i also showed to my polish friends and they are quite triggered
878, oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades you can have all that shit and let hollywood decide how you feel
882, everything is an issue with muslimsgo live in another country like iran
883, i did not admit anything read my tweet again please english is my rd language but i am rather good at it antifa are the nazis they can name them self the messiah they would still be thugs fighting against freedom and free speach btw free speach is not hate speach man up
885, holder was held in contempt of congress why isn't in prison for fast and furious how about for murder
886, expose these demons violating our constitution with violence amp threats to run govt instead of winning at the polls name them domestic terrorists amp jail them all
890, gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government fuck you
891, republicans platform take away healthcare harm the environment take away children take away women’s rights do not believe in rule of law voter suppression gerrymandering take away social security no limits to gun control explodes the budget 
892, then maybe we can talk about the double standards between liberals and conservatives at somebody is always a victim
894, for those who think nothing is happening 
895,rosenstein’s  attorneys ‘helped’ vet kavanaugh – now sexual abuse charges  which go back to his highschool days and can't be proven amp named witness denies 
899, has any ex obama administration personal not yet see a pattern here folks their actually doing this publicly the msm is their partner in this treason it’s a attempted coup d'etat
901, fuck u
906, niggaz buying pussy bitches trying to buy love
911, i'm also a prohibited possessor thanks to obama and his every soldier has ptsd crazy administrationcan't get life insurance eitherstill support the nra and the work they do for gun rightshoping trump will fix the wrongs of labeling veterans as a means to backdoor gun control
912, does not suffer fools and has seen enough shit to last nine lives
916, gop conservatives evangelicals traditionalists catholics are all hypocrites
917, lmaoyou suck nfl
918, well they'll cut out  pages and replace it with  saying everyone needs more chlorine c'mon are you chicken
919, believe the woman what person would volunteer for the shit show she is about to experience if it weren’t true i stand in solidarity with christine blasey ford
920, all communist democrat socialists are bad humans
921, hmmmthey piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive shocking
922,gets period you are the cause of my 
928, thus far the only people getting shot and kicked out of places are conservatives 
930, yeah i'll not take my gun control policy advice from a jean's company beyond that trumps die hard are almost enough that the snowflakes they claim to dislike and themselves are hard to tell a part
935, yes because it is the right thing to do yes because conservatives are in power yes because democrats are miserable humans yes because we are sick and tired of the tantrums from the democrats yes because they freaking lost the election please add more reasons
937,  leader wab kinew on the  are you proud of yourselves and you allow the ndp to come at you from the right you're all as insane as the 
940, hahahahahahahaha she may need to change her strategy acting like a spoiled child throwing a tantrum and showing the world what a sore loser she is on national television isn't a great way to improve how anyone is viewed
941, oh it’s ok because  reversed the most important issue on mental health he got rid of the mental health conditions on gun control great job what a guy he is a liar proven over amp over again but you worship away that’s your right
944, a quick way to get yourself killed thanks antifa
947, wapo what an idiot comment you are a disgrace to journalism very sad
949, that sucks 
953, both sides have promised wall since ever y should anyone believe anything they say promised since 
954, to be fair i’m positive most liberals are just blobs of cells
959, she is such a disgusting hypocrite
960, as well this would allow you to still protest but not stop a speaker or a group really hitler did this in the early time of the nazi party a group known as the ss would beat up politicians and people that didn't agree with them sounds familiar smells like antifa
963, i fucking love this so so true and actually it’s in those types of jobs you will learn the most
966,  with mm no waymaybe is time to ask sky what has gone wrong because from cnn have the book first than kp tweeted about the book liberals from trump for americans to mm for british i don't known who is worst
972, how does what i'm saying relate to gun control if police departments will not prosecute their own family then it's time to limit their access to all weapons a police department reluctant to acknowledge their own wrong doings and correct them dont deserve access to weapons
973, don’t ever stop lil ma cough “eddandflow” cough oh shit is that my snapchat how’d that slip out add me 
975, all you want is gun control while you let corporations rip us americans off you don’t stand up against cops assassinating unarmed black americans cops are enemies of americans that’s why their against because they want to kill blacks in america thanks 
982,a bitch is complaining to corporate about me in our lobby lmaooo
983, i saw some shit today that made me want to  her and politely ask her if i could be her stylist because i'm not here for these early  bangle bracelets and unnecessary accessories like who's responsible i have a few words 
984, yyyy fuck no bitch we decided we both was gone steepppp
985, grasp at unproven straws  
989, funny human rights he is pro abortion that settles it he lies pacified deceives playboy
992, is clearly racist and anti senior citizen how do you allow this conservatives will never take you seriously if you don't start being fair
1000, damn he fell victim to a little thing called tos much like the ones on his own site  
1001, if kavanaugh is confirmed there will be two sexual deviants sitting on the supreme court both conservatives and nominated by republicans democrats put women on the scotus and republicans put perverted men there for their lifetime 
1002, liberals have no shame to them the outcome justifies the mean
1004, coming from a guy who worries more about straws than cleaning up failed 'shitty' policiesnow he knows bestlol
1006, popular side doesn’t equal winning side facts are that private schools do a much better job educating students than public schools public school teachers get unfair perks that they don’t deserve it’s unfair to private school teachers
1008, how fucking sad 
1010, i suppose you think the way liberals attacked sarah palin was courageous also you’re just another hypocrite
1020, all great american patriots are the dregs of society in the warped and delusional perspective of joe blow biden he is a disgrace to america
1021, what a joke another dirty tricks democrat on the george soros payroll the democrat party knows no shame 
1026, what the actual fuckill report them this is so fucked up
1027, he should leak that shit anyways lol
1028, no other st world country has bullshit like this because they don't have bullshit problems like this fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control 
1034, yes you are right not only lefties but neo liberals having any trouble this papers have proper journalistic ethics  it's funny  and magyar nemzet or népszabadság had highest circulation  it's also funny only in the communistic past before   
1036, great gun control takes concentration and steady hand way to go girl 
1037, disgusting that tells you more than anything that we need law n order and that's conservatives n kavanaugh
1043,you would never guess that this employee plays covet a fashion game on her ipad in her free time she has a strange phobia of dogs she is amazingly weird she can jump over her foot while it is in 
1044, go back to canada you freak
1045, yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means i am homophobic
1047, he just doesn’t fit the team now agholor should stay in the slot because that’s where he is successful jmatt is not an outside threat
1048, nike lost  billion after kaepernick was named face of “just do it” bullshit
1051, google go to hell
1057, chicago has been ran by democrats for decades why is it up to the gop to solve the problems they created to begin with act is absolutely code for gun control and that's not happening nor would it help anyway you need  detectives start hiring
1060, if only he were the craziest mf out there sadly he is not there are far worse examples of good christians
1068, he is not working for texas he is paid by the soros cartel not fond of cruz but beto is a dangerous person just another dnc sheeple
1069, i want to kiss your ass
1071, beto also wants open borders so illegals can come an go as they please an also more gun control espically on semiautomatic weapons
1073, there is absolutely no point in debating a liberal your party has swung so far left and have nothing but hate all rationale has fleeted your side trump could create world peace and a utopian society and liberals would still resist for no other reason than your hatred
1075, f hope since he’s ‘not smarter than a th grader’ maybe she is
1077, agree with trump on this surprised to see so many liberals talk about how cute he was sneaking candy at a war criminal's funeral 
1079, calls trump supporters dregs of society organized a coup in  his son steals b from ukrainian people as they leave their country in search of jobs 
1081, destroying me excuse me i beat you all the time why you bullshitting that also i love you more 
1083, for what lies and rumors being spread by liberals with their known pattern hell no
1084, shes so old that shes been pushing gun control since the lincoln assassination
1087, grew up listening to kids shit breaks my heart rip
1088, delusional idiot and the traitor
1093, not if it's unwanted by the mother then the left flushes it down the toilet and goes to an antifa rally to celebrate
1095, ur head bout big as shit
1098, complete and utter waste of time liberals
1100, blame trump for the weather and the corruption that existed for decades in pr what an ass typical democratic
1105, that nigga snitched and added spice on top of his snitching
1108, far right bastards they are literally everywhere luckily we have far left extremists like antifa and jeremy corbyn's supporters to act as a counter balance 
1111, ben is a terrible person that probably raped some people he is a vial human being in my book has nothing to do with his on the field play i don’t like him personally
1112, an idiot where the fuck do they get these people
1117, start by not tweeting pussy ass shit
1120, i am so weak she really beat her ass
1125, her background is being kept under wrapschance she is a rabid magaas most cops are law enforcement entities are attempting to keep quite those who are in trouble and who are maga's
1126, bird ass 
1128, i would name my dogs breed but i have no fucking clue what he is
1134, many arrests have taken place socialist media not covering of course the coming arrests will make socialists heads explode wwgwga maga drain the swamp build the wall
1135, at least brennan is smart enough to recognize that trump is a lion he's not smart enough to know that he can't hurt trump hurting trump is what that idiot fantasies about
1136, holy shit of all people to say that a nebraska fan please take your dead program somewhere else and keep your vcr around to watch highlights from the s
1140, poor godless liberals
1156, i had a man tell me their body count was  but refused to be with a woman who had more than  what the fuck
1157, my dumbass was really thinking how in the hell is she been pregnant for the last  years
1159, so you realize what a fool you are making of yourself with your weird obsession over maybe do some research b spouting off nonsense
1163, liberals today r very different from classical liberals liberals today have gone so far left they r marxists you're burying your head in the sand if you think neo amp classical libs are the same trump is so authoritarian people can say what they want about him amp not be killed
1165, and is inciting violence towards trump supporters on lists to be targeted by antifa
1166, ain't nobody bitter here women who know their worth spending their life upgrading somebody son but actually living it and becoming their best versions for themselves you go look cute on your maid outfit like you always do
